animal	bli_dpi	flux
13983	253	357166.6666666667
13984	253	170700
13985	253	265100
13986	253	262700
13987	253	254600
14005	253	5711111.111111111
14007	253	700555.5555555555
14076	256	1014000
14077	256	470600
13970	257	464300
13974	257	236722.22222222222
13975	257	238300
14046	257	665900
14049	257	441900
13960	258	604100
14121	258	297000
14123	258	326000
14125	261	368000
14126	261	486000
13954	262	113500
13955	262	739444.4444444444
13958	262	115600
13959	262	102800
14075	262	233200
13916	263	82290
13917	263	234900
14060	263	290944.44444444444
14061	263	540611.1111111111
14063	263	716111.1111111111
13935	265	333000
13936	265	274400
13937	265	547400
14052	266	259611.1111111111
14054	266	313555.55555555556
14055	266	253722.22222222222
13850	267	57790
13851	267	121600
13946	267	531300
13947	267	359700
13949	267	311000
14067	267	906600
14068	267	808000
14069	267	328900
14070	267	365500
14071	267	354400
14072	267	234100
14016	269	245400
14021	269	238722.22222222222
14022	269	172400
14031	269	591300
14035	269	296900
14036	269	231600
14076	270	1000000
14077	270	712000
14046	271	286000
14049	271	564000
13982	272	518500
13983	272	554277.7777777778
13984	272	397900
13985	272	115600
13986	272	331300
13987	272	252200
14005	272	497055.55555555556
14007	272	650555.5555555555
14121	272	400000
14123	272	462000
14125	275	586000
14126	275	542000
13970	276	537500
13974	276	810200
13975	276	439200
14075	276	385000
13960	277	317500
14060	277	763000
14061	277	264000
14063	277	542000
13859	280	278900
14052	280	492000
14054	280	452000
14055	280	438000
13865	281	162500
13866	281	187700
13867	281	209400
13954	281	486777.77777777775
13955	281	692222.2222222222
13958	281	192444.44444444444
13959	281	267900
14067	281	535000
14068	281	814000
14069	281	506000
14070	281	475000
14071	281	643000
14072	281	245000
13916	282	184300
13917	282	366400
14016	283	421000
14021	283	461000
14022	283	176000
14031	283	415000
14035	283	282000
14036	283	263000
13935	284	536500
13936	284	448200
13937	284	401200
14076	284	1100000
14077	284	1070000
14046	285	651000
14049	285	607000
13850	286	252000
13851	286	246100
13946	286	371100
13947	286	670300
13949	286	488400
13982	286	752000
13983	286	472000
13984	286	614000
13985	286	257000
13986	286	373000
