animal	region	vacuole_score
13866	dentate_gyrus	1
13866	hippocampus	1
13866	lmol	1
13866	cortex	1
13866	cerebellum	4
13866	brain_stem	4
13866	olf_glomeruli	1
13866	olf_granule_cells	1
13936	thalamus	1
13936	dentate_gyrus	1
13936	hippocampus	1
13936	lmol	5
13936	cortex	1
13936	cerebellum	7
13936	brain_stem	5
13936	olf_glomeruli	1
13936	olf_granule_cells	5
13937	thalamus	7
13937	dentate_gyrus	1
13937	hippocampus	1
13937	lmol	5
13937	cortex	1
13937	cerebellum	7
13937	brain_stem	4
13937	olf_glomeruli	1
13937	olf_granule_cells	6
14031	thalamus	4
14031	dentate_gyrus	3
14031	hippocampus	1
14031	lmol	5
14031	cortex	1
14031	cerebellum	7
14031	brain_stem	6
14031	olf_glomeruli	1
14031	olf_granule_cells	7
14070	thalamus	4
14070	dentate_gyrus	1
14070	hippocampus	1
14070	lmol	1
14070	cortex	1
14070	cerebellum	5
14070	brain_stem	5
14070	olf_glomeruli	1
14070	olf_granule_cells	4
14071	thalamus	5
14071	dentate_gyrus	1
14071	hippocampus	1
14071	lmol	5
14071	cortex	1
14071	cerebellum	6
14071	brain_stem	4
14071	olf_glomeruli	1
14071	olf_granule_cells	4
14072	thalamus	4
14072	dentate_gyrus	1
14072	hippocampus	1
14072	lmol	3
14072	cortex	1
14072	cerebellum	5
14072	brain_stem	3
14072	olf_glomeruli	1
14072	olf_granule_cells	5
14021	thalamus	3
14021	dentate_gyrus	1
14021	hippocampus	1
14021	lmol	1
14021	cortex	1
14021	cerebellum	7
14021	brain_stem	5
14021	olf_glomeruli	1
14021	olf_granule_cells	4
14022	thalamus	5
14022	dentate_gyrus	1
14022	hippocampus	1
14022	lmol	6
14022	cortex	1
14022	cerebellum	6
14022	brain_stem	5
14022	olf_glomeruli	1
14022	olf_granule_cells	4
14067	thalamus	1
14067	dentate_gyrus	1
14067	hippocampus	1
14067	lmol	5
14067	cortex	1
14067	cerebellum	5
14067	brain_stem	5
14067	olf_glomeruli	1
14067	olf_granule_cells	5
14068	thalamus	6
14068	dentate_gyrus	1
14068	hippocampus	1
14068	lmol	5
14068	cortex	1
14068	cerebellum	5
14068	brain_stem	1
14068	olf_glomeruli	1
14068	olf_granule_cells	2
14069	thalamus	1
14069	dentate_gyrus	1
14069	hippocampus	1
14069	lmol	1
14069	cortex	5
14069	cerebellum	5
14069	brain_stem	5
14069	olf_glomeruli	1
14069	olf_granule_cells	2
14077	thalamus	4
14077	dentate_gyrus	1
14077	hippocampus	1
14077	lmol	1
14077	cortex	3
14077	cerebellum	6
14077	brain_stem	4
14077	olf_glomeruli	1
14077	olf_granule_cells	4
14035	thalamus	4
14035	dentate_gyrus	1
14035	hippocampus	1
14035	lmol	1
14035	cortex	1
14035	cerebellum	5
14035	brain_stem	6
14035	olf_glomeruli	1
14035	olf_granule_cells	5
14036	thalamus	5
14036	dentate_gyrus	1
14036	hippocampus	1
14036	lmol	1
14036	cortex	1
14036	cerebellum	6
14036	brain_stem	5
14036	olf_glomeruli	1
14036	olf_granule_cells	5
14052	thalamus	1
14052	dentate_gyrus	1
14052	hippocampus	1
14052	lmol	1
14052	cortex	1
14052	cerebellum	6
14052	brain_stem	1
14052	olf_glomeruli	1
14052	olf_granule_cells	5
13954	thalamus	1
13954	dentate_gyrus	1
13954	hippocampus	1
13954	lmol	1
13954	cortex	1
13954	cerebellum	6
13954	brain_stem	1
13954	olf_glomeruli	1
13954	olf_granule_cells	5
13955	thalamus	4
13955	dentate_gyrus	1
13955	hippocampus	1
13955	lmol	1
13955	cortex	1
13955	cerebellum	6
13955	brain_stem	1
13955	olf_glomeruli	1
13955	olf_granule_cells	2
14005	thalamus	1
14005	dentate_gyrus	1
14005	hippocampus	5
14005	lmol	5
14005	cortex	1
14005	cerebellum	5
14005	brain_stem	4
14005	olf_glomeruli	1
14005	olf_granule_cells	1
14007	thalamus	1
14007	dentate_gyrus	1
14007	hippocampus	1
14007	lmol	1
14007	cortex	1
14007	cerebellum	2
14007	brain_stem	4
14007	olf_glomeruli	1
14007	olf_granule_cells	2
14126	thalamus	4
14126	dentate_gyrus	1
14126	hippocampus	1
14126	cortex	1
14126	cerebellum	2
14126	brain_stem	4
14126	olf_glomeruli	1
14126	olf_granule_cells	1
14121	thalamus	1
14121	dentate_gyrus	1
14121	hippocampus	1
14121	cortex	1
14121	cerebellum	5
14121	brain_stem	5
14121	olf_glomeruli	1
14121	olf_granule_cells	2
14123	thalamus	5
14123	dentate_gyrus	1
14123	hippocampus	1
14123	lmol	1
14123	cortex	1
14123	cerebellum	2
14123	brain_stem	4
14123	olf_glomeruli	1
14123	olf_granule_cells	4
14060	thalamus	1
14060	dentate_gyrus	1
14060	hippocampus	1
14060	lmol	1
14060	cortex	1
14060	cerebellum	5
14060	brain_stem	1
14060	olf_glomeruli	1
14060	olf_granule_cells	5
14055	thalamus	2
14055	dentate_gyrus	1
14055	hippocampus	1
14055	lmol	4
14055	cortex	1
14055	cerebellum	5
14055	brain_stem	5
14055	olf_glomeruli	1
14055	olf_granule_cells	2
14061	thalamus	4
14061	dentate_gyrus	1
14061	hippocampus	1
14061	lmol	4
14061	cortex	1
14061	cerebellum	7
14061	brain_stem	5
14054	thalamus	5
14054	dentate_gyrus	1
14054	hippocampus	1
14054	lmol	4
14054	cortex	1
14054	cerebellum	5
14054	olf_glomeruli	1
14054	olf_granule_cells	1
13959	dentate_gyrus	1
13959	hippocampus	1
13959	lmol	1
13959	cortex	1
13959	cerebellum	5
13959	brain_stem	1
13959	olf_glomeruli	1
13959	olf_granule_cells	2
13946	thalamus	4
13946	dentate_gyrus	1
13946	hippocampus	1
13946	lmol	1
13946	cortex	1
13946	cerebellum	5
13946	brain_stem	1
