animal	region	puncta_score
13955	cortex	1
13955	cerebellum	1
13955	brain_stem	1
13955	olf_glomeruli	1
14005	dentate_gyrus	1
14005	hippocampus	1
14005	lmol	1
14005	cortex	1
14005	cerebellum	1
14005	brain_stem	1
14005	olf_glomeruli	1
14007	dentate_gyrus	1
14007	hippocampus	1
14007	lmol	1
14007	cortex	1
14007	cerebellum	1
14007	brain_stem	1
14007	olf_glomeruli	1
14126	dentate_gyrus	1
14126	hippocampus	1
14126	lmol	1
14126	cortex	1
14126	cerebellum	1
14126	brain_stem	1
14126	olf_glomeruli	2
14126	olf_granule_cells	1
14121	dentate_gyrus	1
14121	hippocampus	1
14121	lmol	1
14121	cortex	1
14121	cerebellum	1
14121	brain_stem	1
14121	olf_glomeruli	1
14123	dentate_gyrus	1
14123	hippocampus	1
14123	lmol	1
14123	cortex	1
14123	cerebellum	1
14123	brain_stem	1
14060	thalamus	1
14060	dentate_gyrus	1
14060	hippocampus	1
14060	lmol	1
14060	cortex	1
14060	cerebellum	4
14060	brain_stem	1
14060	olf_glomeruli	1
14060	olf_granule_cells	1
14055	thalamus	1
14055	dentate_gyrus	1
14055	hippocampus	1
14055	lmol	1
14055	cortex	1
14055	cerebellum	1
14055	brain_stem	1
14055	olf_glomeruli	1
14061	hippocampus	1
14061	lmol	1
14061	cortex	1
14061	cerebellum	1
14061	brain_stem	1
14054	hippocampus	1
14054	lmol	1
14054	cortex	1
14054	cerebellum	1
14054	brain_stem	1
14054	olf_glomeruli	1
14054	olf_granule_cells	1
13959	hippocampus	1
13959	lmol	1
13959	cortex	1
13959	cerebellum	1
13959	brain_stem	1
13959	olf_glomeruli	1
13946	dentate_gyrus	1
13946	hippocampus	1
13946	lmol	1
13946	cerebellum	1
13946	brain_stem	1
