animal	bli_dpi	flux
53038	7	1431000
53039	7	1758000
53040	7	2029000
53042	7	2062000
53045	7	1636000
53046	7	2079000
53211	7	1133000
53214	7	1366000
53049	8	814400
53051	8	880200
53052	8	888800
53054	8	1302000
53211	14	981900
53214	14	869500
53038	15	844000
53039	15	1170000
53040	15	1103000
53042	15	819300
53045	15	976300
53046	15	853600
53049	15	1027000
53051	15	1345000
53052	15	1133000
53054	15	856100
53211	21	697300
53214	21	926900
53038	22	576200
53039	22	925700
53040	22	977700
53042	22	908000
53045	22	8e+05
53046	22	856700
53049	22	837500
53051	22	803900
53052	22	701900
53054	22	925800
53211	28	106200
53214	28	122800
53038	29	714100
53039	29	1181000
53040	29	831600
53042	29	1237000
53045	29	819900
53046	29	432200
53049	29	651800
53051	29	537700
53052	29	748000
53054	29	1081000
53211	35	82110
53214	35	107700
53038	36	768400
53039	36	1125000
53040	36	722000
53042	36	1004000
53045	36	532300
53046	36	899600
53049	36	598300
53051	36	786300
53052	36	838400
53054	36	1203000
53038	43	807300
53039	43	885900
53040	43	975300
53042	43	672100
53045	43	562100
53046	43	903800
53049	43	588200
53051	43	583600
53052	43	510600
53054	43	724500
53038	50	1306000
53039	50	818100
53040	50	972400
53042	50	1010000
53045	50	543500
53046	50	474400
53049	50	710300
53051	50	420600
53052	50	644100
53054	50	975100
53038	57	958900
53039	57	891400
53040	57	926500
53042	57	372700
53045	57	539800
53046	57	755900
53049	57	688500
53051	57	504000
53052	57	805400
53054	57	920400
53038	64	846300
53039	64	852900
53040	64	1198000
53042	64	574100
53045	64	574600
53046	64	477800
53049	64	608700
53051	64	479100
53052	64	597300
53054	64	503200
53211	69	897100
53214	69	811800
53038	71	689100
53039	71	682600
53040	71	547000
53042	71	812800
53045	71	605900
53046	71	746100
53211	76	1389000
53214	76	873400
53211	84	1319000
53214	84	1052000
53211	91	1141000
53214	91	1141000
53049	98	3558000
53051	98	5316000
53052	98	2741000
53054	98	867400
53211	98	3557000
53214	98	1794000
53038	105	1919000
53039	105	1531000
53040	105	1647000
53042	105	1164000
53045	105	742600
53046	105	753600
53049	105	2896000
53051	105	2883000
53052	105	3791000
53054	105	1182000
53211	105	2731000
53214	105	1940000
53038	112	1710000
53039	112	895400
53040	112	1140000
53042	112	1550000
53045	112	1827000
53046	112	789900
53211	112	3905000
53214	112	3867000
53049	113	4314000
53051	113	5855000
53052	113	5606000
53054	113	1415000
53211	119	3821000
53214	119	3602000
53038	120	1463000
53039	120	1375000
53040	120	1450000
53042	120	1131000
53045	120	992200
53046	120	2031000
53049	120	4113000
53051	120	2697000
53052	120	4979000
53054	120	1323000
53211	126	3814000
53214	126	3622000
53038	127	1423000
53039	127	1378000
53040	127	1279000
53042	127	993300
53045	127	1003000
53046	127	1203000
53049	127	9709000
53051	127	11040000
53052	127	6019000
53054	127	2676000
53211	133	5197000
53214	133	4529000
53038	134	2061000
53039	134	1611000
53040	134	1351000
53042	134	3073000
53045	134	2489000
53046	134	2026000
53049	134	6321000
53051	134	1611000
53052	134	4091000
53054	134	1250000
53211	140	4454000
53214	140	4525000
53038	141	1401000
53039	141	841800
53040	141	1134000
53042	141	1492000
53045	141	3892000
53046	141	1266000
53049	141	5721000
53051	141	10180000
53052	141	5342000
53054	141	2029000
53211	147	5448000
53214	147	4433000
53038	148	1403000
53039	148	847300
53040	148	1324000
53042	148	1172000
53045	148	1381000
53046	148	1797000
53049	148	6959000
53051	148	8975000
53052	148	5129000
53054	148	1002000
53211	154	5170000
53214	154	6430000
53038	155	1730000
53039	155	1208000
53040	155	1801000
53042	155	1779000
53045	155	1428000
53046	155	1220000
53049	155	9428000
53051	155	7867000
53052	155	5236000
53054	155	771200
53211	161	1.5e+07
53214	161	7847000
53038	162	2228000
53039	162	1061000
53040	162	1824000
53042	162	2065000
53045	162	970700
53046	162	1177000
53049	162	11490000
53052	162	10250000
53054	162	742600
53038	169	360600
53039	169	1124000
53040	169	1382000
53042	169	1052000
53045	169	898900
53046	169	985400
53049	169	9551000
53052	169	8018000
53054	169	1034000
53214	169	5251000
53214	175	6378000
53038	176	2082000
53039	176	1370000
53040	176	2686000
53042	176	2136000
53045	176	765800
53046	176	931800
53054	176	1071000
53214	182	3749000
53038	183	2571000
53039	183	1448000
53040	183	1900000
53042	183	1714000
53045	183	1258000
53046	183	1496000
53054	183	727900
53214	189	9727000
53038	190	2304000
53039	190	1154000
53040	190	2721000
53042	190	1439000
53045	190	638500
53046	190	935600
53054	190	1109000
53038	197	2691000
53039	197	1136000
53040	197	3838000
53042	197	1149000
53045	197	1006000
53046	197	846500
53054	198	1006000
53054	204	985000
53038	205	1255000
53039	205	918800
53040	205	2624000
53042	205	943800
53045	205	674200
53046	205	1021000
53038	211	2893000
53039	211	971800
53040	211	2020000
53042	211	913600
53045	211	1433000
53046	211	1001000
53054	211	839200
53038	218	3405000
53039	218	1246000
53040	218	3003000
53042	218	1212000
53045	218	660300
53046	218	970100
53054	218	667800
53038	225	3088000
53039	225	1070000
53040	225	3225000
53042	225	1106000
53045	225	1348000
53046	225	1306000
53054	225	993900
53054	231	1107000
53038	232	5005000
53039	232	1382000
53040	232	7218000
53042	232	2255000
53045	232	1081000
53046	232	1081000
53038	238	6061000
53039	238	903500
53040	238	9081000
53042	238	1799000
53045	238	976600
53046	238	918300
53054	239	1192000
53038	246	7032000
53039	246	1711000
53040	246	5790000
53042	246	2046000
53045	246	1239000
53046	246	844100
53054	246	1276000
53038	253	5820000
53039	253	1807000
53040	253	12430000
53042	253	3032000
53045	253	1077000
53046	253	1226000
53054	253	1123000
53038	260	4973000
53039	260	1752000
53040	260	7860000
53042	260	2442000
53045	260	1681000
53046	260	910100
53054	260	812500
53054	265	613500
53038	267	6245000
53039	267	1971000
53040	267	7430000
53042	267	2430000
53045	267	1760000
53046	267	713600
53038	272	5003000
53039	272	1689000
53042	272	2376000
53045	272	2665000
53046	272	625500
53054	282	778700
53054	288	710900
53038	289	4069000
53042	289	5086000
53045	289	8818000
53046	289	905100
53038	295	4834000
53042	295	8090000
53045	295	2265000
53046	295	1552000
53054	295	808000
53038	302	3800000
53042	302	3761000
53045	302	3119000
53046	302	1018000
53054	422	874100
53054	428	760800
53046	429	2243000
53054	434	761800
53046	435	1661000
53046	441	3145000
